OverallPick,TotalPicks,ReachedMajors
1,25,24
2,24,23
3,26,22
4,26,24
5,24,20
6,24,17
7,24,21
8,24,17
9,24,19
10,25,23
11,26,18
12,25,19
13,26,17
14,24,20
15,26,19
16,26,20
17,26,17
18,26,16
19,26,21
20,25,18
21,24,18
22,26,20
23,26,19
24,25,17
25,26,21
26,25,13
27,25,14
28,24,18
29,26,13
30,24,15
31,25,14
32,25,17
33,25,11
34,26,19
35,23,16
36,26,18
37,23,13
38,26,15
39,26,11
40,25,9
41,26,16
42,24,15
43,23,15
44,26,17
45,26,11
46,26,16
47,26,13
48,25,11
49,26,15
50,25,15
51,26,10
52,25,16
53,26,14
54,25,11
55,24,11
56,24,11
57,25,16
58,25,13
59,23,12
60,26,10
61,24,17
62,23,12
63,24,15
64,25,12
65,24,14
66,25,12
67,25,9
68,23,8
69,24,11
70,25,13
71,24,12
72,25,12
73,25,11
74,25,12
75,23,13
76,24,11
77,26,10
78,25,12
79,24,13
80,24,14
81,25,6
82,25,14
83,24,8
84,22,7
85,26,13
86,26,13
87,26,8
88,23,9
89,25,8
90,26,9
91,21,9
92,23,7
93,25,11
94,26,12
95,25,12
96,24,10
97,24,11
98,26,10
99,24,7
100,22,11
101,25,11
102,23,11
103,23,6
104,24,12
105,25,8
106,25,7
107,24,8
108,24,8
109,25,8
110,25,10
111,24,10
112,25,10
113,23,9
114,24,9
115,26,9
116,24,10
117,24,12
118,24,8
119,22,6
120,25,8
121,23,8
122,25,9
123,25,6
124,25,8
125,26,7
126,25,7
127,24,7
128,23,8
129,24,11
130,22,6
131,25,13
132,26,9
133,23,5
134,24,10
135,23,11
136,22,10
137,25,12
138,25,10
139,23,10
140,25,12
141,21,8
142,23,9
143,24,5
144,26,8
145,25,7
146,26,7
147,26,7
148,23,8
149,24,10
150,24,4
151,25,7
152,23,6
153,24,4
154,25,8
155,24,10
156,21,6
157,26,9
158,24,8
159,26,9
160,23,6
161,21,7
162,23,11
163,24,8
164,22,7
165,25,9
166,25,11
167,25,4
168,25,5
169,22,9
170,23,7
171,25,6
172,24,7
173,23,6
174,24,7
175,22,7
176,23,8
177,24,6
178,20,6
179,26,8
180,24,7
181,23,8
182,23,7
183,23,7
184,23,5
185,25,11
186,26,7
187,26,9
188,22,4
189,25,9
190,24,7
191,24,8
192,23,6
193,25,6
194,25,6
195,21,8
196,23,5
197,25,2
198,23,9
199,22,10
200,25,5
201,25,6
202,23,4
203,25,4
204,23,5
205,22,7
206,26,6
207,25,8
208,26,5
209,23,5
210,23,6
211,24,7
212,25,7
213,25,3
214,23,5
215,23,6
216,23,5
217,25,3
218,25,8
219,22,7
220,23,2
221,24,5
222,25,2
223,22,7
224,23,2
225,23,7
226,25,8
227,21,6
228,24,1
229,22,6
230,24,9
231,26,7
232,26,1
233,23,6
234,23,4
235,23,4
236,23,7
237,24,6
238,23,4
239,23,3
240,25,6
241,25,7
242,25,5
243,24,9
244,24,5
245,23,7
246,21,10
247,25,5
248,21,6
249,22,5
250,25,3
251,22,2
252,23,5
253,25,5
254,23,9
255,26,4
256,24,3
257,24,4
258,23,6
259,23,5
260,24,8
261,23,2
262,24,4
263,24,6
264,24,6
265,23,4
266,23,3
267,23,5
268,22,6
269,23,7
270,21,3
271,24,4
272,26,5
273,25,4
274,23,4
275,24,5
276,23,5
277,24,3
278,22,6
279,22,4
280,22,2
281,24,2
282,24,2
283,23,7
284,23,3
285,22,3
286,22,4
287,24,5
288,25,3
289,21,7
290,23,4
291,20,6
292,24,5
293,22,6
294,24,5
295,22,3
296,23,3
297,19,6
298,23,4
299,21,6
300,18,3
